watch_id,brand,model,reference_number,reference_key,display_name,search_text,year,production_years,movement,case_material,case_size,condition,market_price_usd,market_price_source,market_price_updated_at,auction_price_usd,auction_house,auction_date,auction_lot_url,shop_sources,source_count,source_urls,data_quality,notes,updated_at
a_lange_s_hne_01733773041350782405peb,A. Lange & Söhne,,0173377304135-0782405PEB,01733773041350782405PEB,A. Lange & Söhne 0173377304135-0782405PEB,A LANGE S HNE 0173377304135 0782405PEB 01733773041350782405PEB A LANGE S HNE 0173377304135 0782405PEB 43 5 MM,,,,,43.5 mm,,2868,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01733773041570782405peb,A. Lange & Söhne,,0173377304157-0782405PEB,01733773041570782405PEB,A. Lange & Söhne 0173377304157-0782405PEB,A LANGE S HNE 0173377304157 0782405PEB 01733773041570782405PEB A LANGE S HNE 0173377304157 0782405PEB 40 MM,,,,,40 mm,,1806,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377554154setmb,A. Lange & Söhne,,0173377554154-SETMB,0173377554154SETMB,A. Lange & Söhne 0173377554154-SETMB,A LANGE S HNE 0173377554154 SETMB 0173377554154SETMB A LANGE S HNE 0173377554154 SETMB 45 8 MM,,,,,45.8 mm,,3790,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377624085set,A. Lange & Söhne,,0173377624085-SET,0173377624085SET,A. Lange & Söhne 0173377624085-SET,A LANGE S HNE 0173377624085 SET 0173377624085SET A LANGE S HNE 0173377624085 SET 38 MM,,,,,38 mm,,1842,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01733776641570782205peb,A. Lange & Söhne,,0173377664157-0782205PEB,01733776641570782205PEB,A. Lange & Söhne 0173377664157-0782205PEB,A LANGE S HNE 0173377664157 0782205PEB 01733776641570782205PEB A LANGE S HNE 0173377664157 0782205PEB 41 5 MM,,,,,41.5 mm,,2130,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377664185,A. Lange & Söhne,,0173377664185,0173377664185,A. Lange & Söhne 0173377664185,A LANGE S HNE 0173377664185 0173377664185 A LANGE S HNE 0173377664185 25 6 MM,,,,,"25,6 mm",,2248,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377664185set,A. Lange & Söhne,,0173377664185-SET,0173377664185SET,A. Lange & Söhne 0173377664185-SET,A LANGE S HNE 0173377664185 SET 0173377664185SET A LANGE S HNE 0173377664185 SET,,,,,,,2391,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377664187set,A. Lange & Söhne,,0173377664187-SET,0173377664187SET,A. Lange & Söhne 0173377664187-SET,A LANGE S HNE 0173377664187 SET 0173377664187SET A LANGE S HNE 0173377664187 SET 41 5 MM,,,,,41.5 mm,,2582,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01733777140580781918,A. Lange & Söhne,,0173377714058-0781918,01733777140580781918,A. Lange & Söhne 0173377714058-0781918,A LANGE S HNE 0173377714058 0781918 01733777140580781918 A LANGE S HNE 0173377714058 0781918 38 MM,,,,,38 mm,,2655,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173576984783set,A. Lange & Söhne,,0173576984783-SET,0173576984783SET,A. Lange & Söhne 0173576984783-SET,A LANGE S HNE 0173576984783 SET 0173576984783SET A LANGE S HNE 0173576984783 SET 45 MM,,,,,45 mm,,1265,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
